,question,cluster
1284,"also , what is the most dangerous mold or mycotoxin exposure to humans in a water damaged home or building with subsequent visible mold ?
",4
1285,"how long does it take to kill the bacterias in the experiment ?
",9
1286,"at the beginning of the video , where b and c are at the first measure played by the strings , i 've heard of versions of playing them `` titititita '' , is that a problem or we just could n't interpret the thought of dvorak ?
",9
1287,"are primers also found in vivo ?
",6
1288,"a few questions : -when/where was the industrial revolution ?
",1
1289,"is there ( or can there be ) a relationship between external and internal character details ?
",9
1290,"has nasa sent out any more viking missions or was it just those two ?
",1
1291,"incredibles what would sonic 's childhood look like ?
",9
1292,"so in the mouth there are no enzymes to digest proteins ?
",8
1293,"what is the gall bladder good for besides storing bile ?
",8
1294,"or does the rendering equation govern how to trace rays ?
",3
1295,"about how long does it take to make a pixar update in the editing part ?
",5
1296,"is this still a tradition that continues forward at pixar ?
",1
1297,"how long does it take to draw all those pictures ?
",1
1298,"and also how many pictures or frames does it take to make one hour long movie ?
",9
1299,"how can we start animation ?
",9
1300,"are tours of pixar possible ?
",1
1301,"how hard is it to make a animation ?
",9
1302,"how much lights are in a movie ?
",9
1303,"how can we animate on 3d ?
",6
1304,"what if a character is more matured by the beginning of the story-and knows their needs vs their wants- , would you classify them as a support because of their knowledge ?
",9
1305,"can someone please differentiate and clarify the differences between these two informal fallacies ?
",3
1306,"how did the rocks get on earth ?
",4
1307,"what was the first civilization ?
",1
1308,"when an object moves , its origin does n't move with it ?
",9
1309,"will the power of the five cents run out and will it also run out if mixed with normal water because the salt has been washed out ?
",0
1310,"who is `` hans hillewaert '' ?
",1
1311,"at 3:00 -ish , what about water droplets at exactly 90 degrees ?
",4
1312,"what is the force that holds a droplet on a roof or ceiling ?
",4
1313,"how come the water grows on the beetles back does it have some kind of chemical ?
",4
1314,"can you use a kind of microscope to see the contact angles ?
",3
1315,"at 2:32 , why is a long beam bridge way weaker than the short one ?
",9
1316,"what exactly are the purple gloves ?
",9
1317,"i thought of this question beacause i have found out in yorkshire , scotland there beam bridge has fallen down and so they have had to reapair it so what was the force of that ?
",1
1318,"at 1:25 , why are purple gloves needed ?
",6
1319,"if the star collapses once it has used up it 's hydrogen fuel or helium fuel or carbon fuel ... etc , how does that element exist in the star ?
",4
1320,"do you get these videos of the internet or do you ask pixar to do these videos ?
",5
1321,"what made the people who work at pixar want to make the good dinosaur ?
",9
1322,"who is this guy with the idea of a demon on the shoulder ?
",9
1323,"oh and what is this system thats suddenly introduced near the end ?
",9
1324,"also : why does n't the mucins keep the viruses moving too ?
",9
1325,"at 3:08 why is spot 's family 's hair all white , and his is brown ?
",1
1326,"but how does rupert know that if he can convince himself , things will go smoothly ?
",9
1327,"what is the equivalent of these materials in batteries we use in our daily lives like those found in remote controls , phones , or cars ?
",9
1328,"what is the yellow liquid ?
",4
1329,"is it ever possible to run out of electrons ?
",4
1330,"what is the wire connecting the zinc and the copper made of ?
",4
1331,"if batteries are made with zinc and copper , then how is it possible to make batteries with other metals , as volta said in 7:16 ?
",4
1332,"why , to make a battery , you need something salty or sour ?
",9
1333,"if you touched the frog 's leg with the pinchers , would you get electrocuted ?
",6
1334,"did luigi really think the frog was the source of electricity ?
",9
1335,"does the charge in the metals stay the same after the electric current has passed through the wire , the frog , again the wire and back to zinc ?
",4
1336,"is there a pair of metals that , once the electrons run out of one and into the other , could still create power doing the process in reverse ?
",4
1337,"will the battery be more efficient if the metals had 3 or 5 valence electrons ?
",4
1338,"at 4:15 how many electrons got to share each day ?
",2
1339,"when we are saying a or b is theseus ' ship , are we talking about ownership ?
",1
1340,"is there some other value system used to determine that this is indeed the ship of theseus ?
",3
1341,"have you ever seen these jackson pollock-inspired websites ?
",5
1342,"is it possible that one virus imitates another 's shell but needs to be destroyed in a different way by the immune system , thus neutralizing the power of the immune system ?
",9
1343,"why do things sometimes have specific patterns ?
",3
1344,"how long ( estimated ) would it take to create a pattern ?
",0
1345,"are bezier curves generated using the concept of parabolic arcs introduced in the previous sections ?
",3
1346,"can the average and split go on forever or will it stop at a point ?
",9
1347,"is the inscription in latin ?
",1
1348,"talking about putting your own life into the story , how can we make it universal ?
",9
1349,"what is a negative and a positive feedback in homeostasis ?
",3
1350,"since cold-blooded animals do not have homeostasis , what happens if a cold-blooded animal such a snake gets too hot or too cold ?
",6
1351,"suppose if i have a serious burn in my hand and also causes pain , will my body temperature will change or not ?
",9
1352,"if gamuts prevent devices from producing some colors , how is the complete cie chromaticity diagram shown in this video ?
",3
1353,"if no device can produce pure red , green and blue ; then how does the full color of the cie diagram show the complete range on the video in the lessons ?
",3
1354,"why is this different from the pinhole camera exercise in which all the light rays were angled into the pinhole/aperture ?
",4
1355,"from : praneet srivastava ( https : //physics.stackexchange.com/users/68645/praneet-srivastava ) , why do we assume that rays from infinity are parallel ?
",6
1356,"is the big bang really true or is it just a theory ?
",9
1357,"what is color to you ?
",3
1358,"what does it mean 'so the light is out in the real world ' ?
",9
1359,"what was the first movie you worked on in pixar ?
",9
1360,"what was the number and composition of the population surveyed ?
",1
